Location id	1	2	3	4	5	6	7	8	9
Location latitude	41.9	43.8	44.5	46.3	47.5	49.1	50.6	52.0	53.1
Location longitude	2.7	2.2	2.6	3.7	4.7	5.7	6.8	8.9	10.3
1951	1	1	1	1	1	1	1	1	1
1952	1	1	1	1	1	1	1	1	1
1953	1	1	1	1	1	1	1	1	1
1954	1	1	1	1	1	1	1	1	1
1955	1	1	1	1	1	1	1	1	1
1956	1	1	1	1	1	1	1	1	1
1957	1	1	1	1	1	1	1	1	1
1958	1	1	1	1	1	1	1	1	1
1959	1	1	1	1	1	1	1	0.977	0.776
1960	1	1	1	1	1	1	1	1	1
1961	1	1	1	1	1	1	1	1	1
1962	1	1	1	1	1	1	1	1	1
1963	1	1	1	1	1	1	1	1	1
1964	1	1	1	1	1	1	1	1	1
1965	1	0.975	0.849	1	1	1	1	1	1
1966	1	1	1	1	1	1	1	1	1
1967	1	1	1	1	1	1	1	1	1
1968	1	1	1	1	1	1	1	1	1
1969	0.966	1	0.998	1	1	1	1	1	1
1970	1	1	1	1	1	1	1	1	1
1971	1	1	0.983	1	1	1	1	1	1
1972	0.902	1	1	1	1	1	1	1	1
1973	1	1	1	1	1	1	1	1	1
1974	1	1	0.978	1	1	1	1	1	1
1975	1	1	1	1	1	1	1	1	1
1976	1	1	1	1	1	1	1	1	1
1977	0.962	1	1	1	1	1	1	1	1
1978	1	1	1	1	1	1	1	1	1
1979	1	1	0.922	1	1	1	1	1	1
1980	1	1	1	1	1	1	1	1	1
1981	1	1	0.927	1	1	1	1	1	1
1982	0.985	1	1	1	1	1	1	1	1
1983	1	1	1	1	1	1	1	1	1
1984	1	1	1	1	1	1	1	1	1
1985	1	1	1	1	1	1	1	1	1
1986	1	1	1	1	1	1	1	1	1
1987	1	1	1	1	1	1	1	1	1
1988	1	1	1	1	1	1	1	1	1
1989	1	1	1	1	1	1	1	1	1
1990	1	1	1	1	1	1	1	1	1
1991	1	1	1	1	1	1	1	1	1
1992	1	1	1	1	1	1	1	1	1
1993	1	1	1	1	1	1	1	1	1
1994	1	1	0.928	1	1	1	1	1	1
1995	1	1	1	1	1	1	1	1	1
1996	1	1	1	1	1	1	1	1	1
1997	1	1	1	1	1	1	1	1	1
1998	1	1	1	1	1	1	1	1	1
1999	1	1	1	1	1	1	1	1	1
2000	1	1	1	1	1	1	1	1	1
2001	1	1	1	1	1	1	1	1	1
2002	1	1	1	1	1	1	1	1	1
2003	1	1	1	1	1	1	1	1	1
2004	1	1	1	1	1	1	1	1	1
2005	1	1	1	1	1	1	1	1	1
2006	1	1	1	1	1	1	1	1	1
2007	1	1	1	1	1	1	1	1	1
2008	1	1	1	1	1	1	1	1	1
2009	1	1	1	1	1	1	1	1	1
2010	1	1	1	1	1	1	1	1	1
2011	1	1	1	1	1	1	1	1	1
2012	1	1	1	1	1	1	1	1	1
2013	1	1	1	1	1	1	1	1	1
2014	1	1	1	1	1	1	1	1	1
2015	1	1	1	1	1	1	1	1	1
2016	1	1	1	1	1	1	1	1	1
2017	1	1	1	1	1	1	1	1	1
2018	1	1	1	1	1	1	1	1	0.961
2019	1	1	1	1	1	1	1	1	1
2020	1	1	1	1	1	1	1	1	1
