Location id	1	2	3	4	5	6	7	8	9
Location latitude	42.0	43.8	44.5	46.3	47.5	49.1	50.6	52.0	53.1
Location longitude	2.0	2.2	2.6	3.7	4.7	5.7	6.8	8.9	10.3
1952	1	0.1	1	1	1	1	1	1	1
1953	1	1	1	1	1	1	1	1	1
1954	1	0.1	1	1	1	1	1	1	1
1955	0.1	0.1	1	1	1	1	1	1	1
1956	1	0.1	1	1	1	1	1	1	1
1957	1	0.1	1	1	1	1	1	1	1
1958	1	1	1	1	1	1	1	1	1
1959	0.1	0.1	0.1	1	1	1	1	1	0.808
1960	1	0.1	0.984	1	1	1	1	1	1
1961	0.1	0.1	0.1	0.1	1	1	1	1	1
1962	1	0.1	1	1	1	1	1	1	1
1963	1	1	1	1	1	1	1	1	1
1964	1	0.1	1	1	1	1	1	1	1
1965	1	0.943	0.821	0.975	1	1	1	1	1
1966	0.1	0.1	0.098	0.1	1	1	1	1	1
1967	1	1	1	1	1	1	1	1	1
1968	1	1	1	1	1	1	1	1	1
1969	0.944	0.1	0.965	1	1	1	1	1	1
1970	1	1	1	1	1	1	1	1	1
1971	0.984	0.1	0.951	1	1	1	1	1	1
1972	0.88	0.1	1	1	1	1	1	1	1
1973	1	1	1	1	1	1	1	1	1
1974	1	0.098	0.945	1	1	1	1	1	1
1975	1	0.1	1	1	1	1	1	1	1
1976	1	1	1	1	1	1	1	1	1
1977	0.974	0.1	0.98	1	1	1	1	1	1
1978	1	0.1	1	1	1	1	1	1	1
1979	1	0.1	0.892	1	1	1	1	1	1
1980	1	1	0.993	1	1	1	1	1	1
1981	1	0.982	0.897	0.984	0.981	1	1	1	1
1982	0.1	0.1	1	1	1	1	1	1	1
1983	1	0.1	1	1	1	1	1	1	1
1984	1	1	0.982	1	1	1	1	1	1
1985	1	0.1	1	1	1	1	1	1	1
1986	1	1	0.984	1	1	1	1	1	1
1987	1	0.1	1	1	1	1	1	1	1
1988	0.1	0.1	1	0.1	1	1	1	1	1
1989	0.1	0.1	1	1	1	1	1	1	1
1990	0.1	0.1	0.1	0.1	1	1	1	1	1
1991	1	1	1	1	1	1	1	1	1
1992	1	1	1	1	1	1	1	1	1
1993	0.1	0.1	0.1	0.1	1	1	1	1	1
1994	1	0.1	0.898	1	1	1	1	1	1
1995	0.1	0.1	0.1	0.1	1	0.1	1	1	1
1996	0.098	0.1	0.99	1	1	1	1	1	1
1997	0.1	0.1	0.1	0.1	1	1	1	1	1
1998	0.1	0.1	0.1	0.1	1	1	1	1	1
1999	1	0.1	0.981	1	1	1	1	1	1
2000	0.1	0.1	1	1	1	1	1	1	1
2001	0.1	0.1	0.1	0.1	1	1	1	1	1
2002	0.1	0.1	1	1	1	1	1	1	1
2003	0.1	0.1	0.1	0.1	1	1	1	1	1
2004	0.1	0.1	1	1	1	1	1	1	1
2005	1	1	1	1	1	1	1	1	1
2006	1	1	1	1	1	1	1	1	1
2007	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
2008	0.1	0.1	0.967	1	1	1	1	1	1
2009	1	1	1	1	1	1	1	1	1
2010	1	0.1	1	1	1	1	1	1	1
2011	1	0.1	1	1	1	1	1	1	1
2012	0.1	0.1	1	0.1	1	1	1	1	1
2013	0.1	0.1	1	1	1	1	1	1	1
2014	0.1	0.1	0.1	0.1	1	1	1	1	1
2015	0.1	0.1	1	1	1	1	1	1	1
2016	0.1	0.1	0.1	0.1	1	1	1	1	1
2017	0.1	0.1	0.1	0.1	1	1	1	1	1
2018	0.914	0.1	1	1	1	1	1	1	0.993
2019	0.1	0.1	0.1	0.1	1	1	1	1	1
2020	0.1	0.1	0.1	0.1	1	0.1	1	1	1
