Location id	1	2	3	4	5	6	7	8	9	10
Location latitude	47.5	47.5	47.5	47.5	47.5	47.5	47.5	47.5	47.5	47.5
Location longitude	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0
1951	1	0	0	0	0	0	0	0	0	0
1952	0	0	0	0	0	0	0	0	0	0
1953	1	1	0	0.998	0	0	0	0	0	0
1954	0	0	0	0	0	0	0	0	0	0
1955	0	0.993	0	0	0	0	0	0	0	0
1956	1	0	0	0	0	0	0	0	0	0
1957	0	0	0	0	0	0	0	0	0	0
1958	1	1	0	0	0	0	0	0	0	0
1959	0	0	0	0	0	0	0	0	0	0
1960	0	0	0	0	0	0	0	0	0	0
1961	0	0	0	0	0	0	0	0	0	0
1962	1	1	0	0	0	0	0	0	0	0
1963	1	1	1	1	0	1	0	0	0	0
1964	0	1	0	0	0	0	0	0	0	0
1965	1	1	0	0	0	0	0	0	0	0
1966	0	0	0	0	0	0	0	0	0	0
1967	0	0	0	0	0	0	0	0	0	0
1968	1	1	0	0	0	0	0	0	0	0
1969	1	0	0	0	0	0	0	0	0	0
1970	1	1	0	1	0	1	0	0	0	0
1971	1	0	0	0	0	0	0	0	0	0
1972	0	0	0	0	0	0	0	0	0	0
1973	1	1	0	1	0	1	0	0	0	0
1974	0	0.996	0	0	0	0	0	0	0	0
1975	0	0	0	0	0	0	0	0	0	0
1976	1	1	0	0	0	0	0	0	0	0
1977	0	0	0	0	0	0	0	0	0	0
1978	0	1	0	0	0	0	0	0	0	0
1979	0	1	0	1	0	0	0	0	0	0
1980	0	1	0	0	0	0	0	0	0	0
1981	1	1	0	1	0	1	0	0	0	0
1982	0	1	0	0	0	0	0	0	0	0
1983	0	1	0	0	0	0	0	0	0	0
1984	1	1	0	1	0	0	0	0	0	0
1985	1	0	0	0	0	0	0	0	0	0
1986	1	1	0	1	0	1	0	0	0	0
1987	1	1	0	1	0	0	0	0	0	0
1988	0	0	0	0	0	0	0	0	0	0
1989	0	0	0	0	0	0	0	0	0	0
1990	0	0	0	0	0	0	0	0	0	0
1991	0	1	0	0.979	0	0	0	0	0	0
1992	1	1	0	0.997	0	0	0	0	0	0
1993	0	0	0	0	0	0	0	0	0	0
1994	0	0	0	0	0	0	0	0	0	0
1995	0	0	0	0	0	0	0	0	0	0
1996	1	1	0	1	0	0	0	0	0	0
1997	0	0	0	0	0	0	0	0	0	0
1998	0	0	0	0	0	0	0	0	0	0
1999	1	1	0	0	0	0	0	0	0	0
2000	1	1	0	0	0	0	0	0	0	0
